epcho,loss,acc
727,0.084719755,0.978125
728,0.0841494,0.975
729,0.08457442,0.978125
730,0.072699025,0.98125
731,0.07479963,0.98125
732,0.111145474,0.9625
733,0.08189052,0.98125
734,0.12538108,0.946875
735,0.10460366,0.975
736,0.10622869,0.96875
737,0.085677415,0.984375
738,0.10830267,0.975
739,0.08098199,0.98125
740,0.09093712,0.971875
741,0.068804406,0.990625
742,0.07971875,0.984375
743,0.0670469,0.990625
744,0.081391826,0.98125
745,0.09110583,0.971875
746,0.078814045,0.978125
747,0.0700895,0.978125
748,0.06428381,0.984375
749,0.086829506,0.984375
750,0.09045931,0.9875
751,0.086249486,0.98125
752,0.08307531,0.9875
753,0.09938791,0.9625
754,0.07420462,0.984375
755,0.05975137,0.984375
756,0.08634887,0.971875
757,0.07724708,0.984375
758,0.0798033,0.978125
759,0.07406591,0.984375
760,0.07721557,0.9875
761,0.12295966,0.96875
762,0.07840566,0.9875
763,0.07890662,0.984375
764,0.07685965,0.9875
765,0.07354416,0.98125
766,0.07240148,0.990625
767,0.0662574,0.99375
768,0.07595798,0.98125
769,0.08433546,0.978125
770,0.0655185,0.990625
771,0.046828438,0.996875
772,0.08448594,0.965625
773,0.089215025,0.959375
774,0.07804247,0.9875
775,0.062453996,0.990625
776,0.07214485,0.984375
777,0.06477271,0.9875
778,0.082736574,0.9875
779,0.07015921,0.99375
780,0.08096098,0.99375
781,0.06830646,0.9875
782,0.09213413,0.965625
783,0.06984538,0.984375
784,0.068776704,0.978125
785,0.06329957,0.9875
786,0.09136746,0.975
787,0.05608796,0.9875
788,0.064317845,0.9875
789,0.06734683,0.978125
790,0.07287571,0.98125
791,0.05646488,0.9875
792,0.079519756,0.978125
793,0.05978644,0.99375
794,0.079710245,0.98125
795,0.087051295,0.98125
796,0.06584302,0.984375
797,0.06768695,0.9875
798,0.07887258,0.98125
799,0.06669819,0.9875
800,0.0685357,0.9875
801,0.065750934,0.98125
802,0.0649838,0.9875
803,0.07296048,0.9875
804,0.076472424,0.98125
805,0.08103083,0.975
806,0.06770639,0.99375
807,0.065749906,0.990625
808,0.06540554,0.990625
809,0.08777892,0.975
810,0.056404352,1.0
811,0.07967867,0.98125
812,0.05421982,0.990625
813,0.07097184,0.98125
814,0.07162317,0.98125
815,0.054970276,0.990625
